                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.00581,                0.73698,                 1.1863,                0.67374,                0.67466,                0.69716,                0.41826,                0.00604,                0.65761,                 1.2646,               0.067176,             3.2857e-05,             3.2857e-05
                      1,                0.00565,                0.73174,                 1.1449,                0.67741,                0.65753,                0.67942,                0.41198,                0.00623,                 0.6736,                 1.2974,               0.033876,             6.6126e-05,             6.6126e-05
                      2,                0.00545,                0.70255,                 1.1411,                0.67479,                0.66781,                0.68846,                0.41828,                0.00634,                 0.6487,                 1.3098,             0.00057533,             9.9135e-05,             9.9135e-05
                      3,                0.00535,                0.72197,                 1.1216,                0.69207,                0.66781,                0.69319,                0.41558,                0.00633,                0.63559,                 1.3052,             9.9123e-05,             9.9123e-05,             9.9123e-05
                      4,                0.00544,                0.65375,                 1.1541,                0.67898,                0.70205,                0.71336,                0.41697,                0.00638,                0.62023,                 1.3142,             9.9123e-05,             9.9123e-05,             9.9123e-05
                      5,                0.00576,                0.74979,                 1.1778,                0.69891,                0.67123,                0.72356,                0.41933,                0.00629,                0.64181,                 1.2979,             9.8445e-05,             9.8445e-05,             9.8445e-05
                      6,                0.00554,                0.66315,                 1.1796,                0.68939,                0.66887,                0.72282,                 0.4268,                0.00621,                0.62347,                 1.2831,             9.7577e-05,             9.7577e-05,             9.7577e-05
                      7,                0.00572,                0.70669,                 1.1424,                0.69442,                0.66928,                0.72375,                0.43214,                0.00621,                0.62055,                 1.2812,             9.6524e-05,             9.6524e-05,             9.6524e-05
                      8,                0.00519,                0.80395,                 1.0985,                0.70632,                0.65068,                0.70314,                0.43432,                0.00614,                0.67674,                 1.2678,             9.5289e-05,             9.5289e-05,             9.5289e-05
                      9,                 0.0053,                0.78891,                  1.132,                0.79275,                0.52397,                0.66833,                0.42475,                0.00614,                0.77674,                 1.2606,             9.3877e-05,             9.3877e-05,             9.3877e-05
                     10,                0.00559,                0.80299,                 1.1304,                0.73593,                0.58219,                0.67236,                0.41863,                0.00608,                0.72019,                 1.2484,             9.2294e-05,             9.2294e-05,             9.2294e-05
